✓,Card,Type,Color,View,Picked By,
✓,Bonecrusher Giant,Creature — Giant,R,View,ebbitten,$K$13
✓,Detective's Phoenix,Enchantment Creature — Phoenix,R,View,dgcritch,$I$17
✓,Goblin Rabblemaster,Creature — Goblin Warrior,R,View,dgcritch,$I$24
✓,"Laelia, the Blade Reforged",Legendary Creature — Spirit Warrior,R,View,dgcritch,$I$6
✓,Rampaging Ferocidon,Creature — Dinosaur,R,View,ebbitten,$K$38
✓,Screaming Nemesis,Creature — Spirit,R,View,dgcritch,$I$7
✓,Seasoned Pyromancer,Creature — Human Shaman,R,View,samp,$E$23
✓,Tersa Lightshatter,Legendary Creature — Orc Wizard,R,View,ebbitten,$K$22
✓,Pia and Kiran Nalaar,Legendary Creature — Human Artificer,R,View,dgcritch,$I$37
✓,Pyrogoyf,Creature — Lhurgoyf,R,View,dgcritch,$I$4
✓,Rampaging Raptor,Creature — Dinosaur,R,View,dgcritch,$I$46
✓,Bonehoard Dracosaur,Creature — Dinosaur Dragon,R,View,ebbitten,$K$37
✓,Fury,Creature — Elemental Incarnation,R,View,dgcritch,$I$5
✓,Glorybringer,Creature — Dragon,R,View,ebbitten,$K$35
✓,Goldspan Dragon,Creature — Dragon,R,View,dgcritch,$I$48
✓,Zealous Conscripts,Creature — Human Warrior,R,View,ebbitten,$K$33
✓,Oliphaunt,Creature — Elephant,R,View,Bludac,$D$22
✓,Overlord of the Boilerbilges,Enchantment Creature — Avatar Horror,R,View,ebbitten,$K$34
,Trumpeting Carnosaur,Creature — Dinosaur,R,View,,
✓,Burst Lightning,Instant,R,View,ebbitten,$K$15
✓,Fire Magic,Instant,R,View,Bludac,$D$44
✓,Lightning Bolt,Instant,R,View,ebbitten,$K$6
✓,Monstrous Rage,Instant,R,View,ebbitten,$K$12
✓,Torch the Tower,Instant,R,View,ebbitten,$K$24
✓,Unholy Heat,Instant,R,View,dgcritch,$I$16
✓,Abrade,Instant,R,View,ebbitten,$K$27
✓,Ghostfire Slice,Instant,R,View,dgcritch,$I$28
✓,Mine Collapse,Instant,R,View,ebbitten,$K$32
✓,Fireblast,Instant,R,View,ebbitten,$K$19
✓,Pyrokinesis,Instant,R,View,dgcritch,$I$15
✓,Chain Lightning,Sorcery,R,View,ebbitten,$K$10
✓,Faithless Looting,Sorcery,R,View,Bludac,$D$47
✓,Flame Slash,Sorcery,R,View,dgcritch,$I$13
✓,Iroh's Demonstration,Sorcery — Lesson,R,View,ebbitten,$K$29
