,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,↪,Caustic Bronco,Concealing Curtains,Restless Vents,Unnerving Grasp,"Chandra, Torch of Defiance",Mayhem Devil,Stern Scolding,Preacher of the Schism,Field of the Dead,Ephemerate,,,,,,,,,,,,B,B,BR,U,R,BR,U,B,C,W
31,,Nethergoyf,Sunfall,"Alesha, Who Laughs at Fate",Fading Hope,Elegant Parlor,Forsaken Miner,Dress Down,Sublime Epiphany,Primal Might,"Plagon, Lord of the Beach",,,,,,,,,,,,B,W,BR,U,WR,B,U,U,G,WU
32,,Archfiend of the Dross,Supreme Verdict,Kolaghan's Command,Mischievous Mystic,Chainsaw,Cankerbloom,Commit // Memory,Breeding Pool 2,Tear Asunder,Day of Judgment,,,,↩,,,,,,,,B,WU,BR,U,R,G,U,UG,BG,W
33,,Loran of the Third Path,Sorin of House Markov,Bloodtithe Harvester,"Kitsa, Otterball Elite",Sanguine Evangelist,Keen-Eyed Curator,Kappa Cannoneer,Sandstorm Salvager,Questing Beast,Thraben Charm,,,,,,,,,,,,W,WB,BR,U,W,G,U,G,G,W
34,↪,Collective Brutality,Containment Priest,Stalactite Stalker,Bloodthirsty Adversary,Glorybringer,"Jadar, Ghoulcaller of Nephalia",Mizzium Mortars,Elvish Mystic,Knight of the Reliquary,"Jace, Vryn's Prodigy",,,,,,,,,,,,B,W,B,R,R,B,R,G,WG,U
35,,Raven Eagle,Lion Sash,Bitterblossom,Embercleave,Esper Sentinel,Bloodghast,Prismari Command,"Toby, Beastie Befriender",Lumbering Worldwagon,No More Lies,,,,,,,,,,,,B,W,B,R,W,B,UR,W,G,WU
36,,"Valki, God of Lies","Thalia, Guardian of Thraben",Sinkhole Surveyor,"Korvold, Fae-Cursed King",Witch Enchanter,Priest of Forgotten Gods,Cryptic Coat,"Nissa, Ascended Animist","Sandman, Shifting Scoundrel",Force Spike,,,,↩,,,,,,,,BR,W,B,BRG,W,B,U,G,G,U
37,,"Syr Ginger, the Meal Ender",Consult the Star Charts,Marionette Apprentice,Restoration Angel,Flickerwisp,Woe Strider,"Narset, Parter of Veils",Razorverge Thicket,The Gitrog Monster,Winternight Stories,,,,,,,,,,,,C,U,B,W,W,B,U,WG,BG,U
38,↪,Tenacious Underdog,"Tourach, Dread Cantor",Scavenger's Talent,Silverbluff Bridge,Sheltered by Ghosts,Phyrexian Tower,Phyrexian Metamorph,Tarmogoyf,"Rofellos, Llanowar Emissary",Winds of Abandon,,,,,,,,,,,,B,B,B,UR,W,B,U,G,G,W
39,,"Kaito, Bane of Nightmares",Gix's Command,Bomat Courier,Generous Plunderer,Lightning Helix,Misery's Shadow,"Magda, Brazen Outlaw",Enduring Curiosity,Shifting Woodland,Serra Paragon,,,,,,,,,,,,UB,B,R,R,WR,B,R,U,G,W
40,,"Raffine, Scheming Seer",Restless Fortress,Zealous Conscripts,"Venser, Shaper Savant",Cosmogrand Zenith,Tough Cookie,Forensic Gadgeteer,Wurmcoil Engine,Llanowar Elves,Aang's Iceberg,,,,↩,,,,,,,,WUB,WB,R,U,W,G,U,C,G,W
41,,Persist,Phantasmal Image,"Kroxa, Titan of Death's Hunger","The Mechanist, Aerial Artisan","Suki, Courageous Rescuer",Knight of Autumn,"Skysovereign, Consul Flagship",Hunter's Talent,Scavenging Ooze,Botanical Sanctum,,,,,,,,,,,,B,U,BR,U,W,WG,C,G,G,UG
42,↪,Hostile Investigator,Duelist of the Mind,Monument to Endurance,"Cloud, Midgar Mercenary","Joshua, Phoenix's Dominant",Thragtusk,Vendilion Clique,Genemorph Imago,Raging Ravine,Repulsive Mutation,,,,,,,,,,,,B,U,C,W,WR,G,U,UG,RG,UG
43,,Saw in Half,Sungold Sentinel,Rampaging Ferocidon,Grave Titan,Splitskin Doll,Timeless Witness,Myr Battlesphere,Glissa Sunslayer,Inscription of Abundance,Batterskull,,,,,,,,,,,,B,W,R,B,W,G,C,BG,G,C
44,,"Rankle, Master of Pranks",Talisman of Progress,Rotting Regisaur,"Adeline, Resplendent Cathar",Blade Splicer,Voice of Resurgence,Nettlecyst,Restless Vinestalk,Cosmic Rebirth,Ranger-Captain of Eos,,,,✪,,,,,,,,B,WU,B,W,W,WG,C,UG,WG,W
45,,"Yuriko, the Tiger's Shadow",Intrepid Adversary,Sunset Saboteur,Primeval Titan,Elite Spellbinder,Kishla Skimmer,"Malcolm, Alluring Scoundrel","Polukranos, Unchained",Titan of Industry,Collector's Cage,,,,,,,,,,,,UB,W,B,G,W,UG,U,BG,G,W
