,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Consider,Showdown of the Skalds,Restless Fortress,Spymaster's Vault,Marionette Apprentice,Questing Beast,Fell the Profane,Talisman of Progress,Sazh's Chocobo,Bonecrusher Giant,,,,,,,,,,,U,WR,WB,B,B,G,B,WU,G,R
31,↪,"Narset, Parter of Veils",Kavaron Harrier,Mutavault,Silent Hallcreeper,Bitterblossom,Wurmcoil Engine,Dark Confidant,Talisman of Creativity,Pawpatch Recruit,Brazen Borrower,,,,,,,,,,,U,R,C,U,B,C,B,UR,G,U
32,,Vendilion Clique,Usher of the Fallen,Legion's Landing,Darkslick Shores,Forsaken Miner,"Skysovereign, Consul Flagship",Preacher of the Schism,Imodane's Recruiter,"Lumra, Bellow of the Woods",Opt,,,,,,,,,,,U,W,W,UB,B,C,B,WR,G,U
33,,Shark Typhoon,Monstrous Rage,"Teysa, Opulent Oligarch",Kaito Shizuki,Overgrown Tomb 2,Cityscape Leveler,Quag Feast,Forensic Gadgeteer,Saw in Half,Stormchaser's Talent,,,↩,,,,,,,,U,R,WB,UB,BG,C,B,U,B,U
34,,Brainsurge,Bonehoard Dracosaur,"Thalia, Guardian of Thraben",Norman Osborn,Overgrown Tomb,Nexus of Becoming,Reckoner Bankbuster,Cryptic Coat,Tersa Lightshatter,Torch the Tower,,,,,,,,,,,U,R,W,UBR,BG,C,C,U,R,R
35,↪,Day of Judgment,"Chandra, Torch of Defiance",Condemn,Fell,Blooming Marsh,Lush Portico,Greasewrench Goblin,Galvanic Blast,Trumpeting Carnosaur,Make Disappear,,,,,,,,,,,W,R,W,B,BG,WG,R,R,R,U
36,,Sunfall,Journey to Nowhere,Barbed Spike,"Gix, Yawgmoth Praetor",Underground Mortuary,Thragtusk,Sunset Saboteur,Seachrome Coast,"Kogla, the Titan Ape",Lightning Axe,,,,,,,,,,,W,W,W,B,BG,G,B,WU,G,R
37,,Wall of Omens,Goblin Rabblemaster,Hostile Investigator,Ledger Shredder,"Grist, the Hunger Tide",Goldvein Hydra,Phyrexian Metamorph,Michiko's Reign of Truth,Sylvan Caryatid,Prismari Command,,,↩,,,,,,,,W,R,B,U,BG,G,U,W,G,UR
38,,Commit // Memory,Cathar Commando,Loran of the Third Path,Bloodchief's Thirst,"Korvold, Fae-Cursed King",Primal Might,Kolaghan's Command,Blinkmoth Nexus,Molt Tender,Sprite Dragon,,,,,,,,,,,U,W,W,B,BRG,G,BR,C,G,UR
39,↪,"Tamiyo, Collector of Tales",Caretaker's Talent,Damn,Unholy Annex // Ritual Chamber,Priest of Forgotten Gods,Agonasaur Rex,Glorybringer,Kaldra Compleat,Ranger Class,Expressive Iteration,,,,,,,,,,,UG,W,WB,B,B,G,R,C,G,UR
40,,Leyline Binding,"Gideon, Ally of Zendikar",Scourge of the Skyclaves,Talisman of Dominance,Zealous Conscripts,Balustrade Wurm,Overlord of the Boilerbilges,Restless Bivouac,"Kiora, the Rising Tide",Voldaren Thrillseeker,,,,,,,,,,,W,W,B,UB,R,G,R,WR,U,R
41,,Torrential Gearhulk,Battle Screech,Vanishing Verse,Mischievous Mystic,Ophiomancer,Innkeeper's Talent,Grim Lavamancer,Legion Extruder,Bloodbraid Elf,Winternight Stories,,,↩,,,,,,,,U,W,WB,U,B,G,R,R,RG,U
42,,Tarmogoyf,"Kari Zev, Skyship Raider",Lingering Souls,Intrude on the Mind,Woe Strider,The Aetherspark,Bloodthirsty Adversary,Mockingbird,"Etali, Primal Conqueror","Magda, the Hoardmaster",,,,,,,,,,,G,R,WB,U,B,C,R,U,RG,R
43,↪,"Boseiju, Who Endures",Sword of Fire and Ice,Sevinne's Reclamation,Fading Hope,Mayhem Devil,Cankerbloom,Sorin of House Markov,Aether Spellbomb,Commercial District,Mizzium Mortars,,,,,,,,,,,G,C,W,U,BR,G,WB,U,RG,R
44,,Spell Queller,Ghostfire Slice,Zack Fair,"Kaito, Bane of Nightmares",Warren Soultrader,Inscription of Abundance,"Kroxa, Titan of Death's Hunger",Talisman of Conviction,Territorial Kavu,Enduring Curiosity,,,,,,,,,,,WU,R,W,UB,B,G,BR,WR,RG,U
45,,Urban Retreat,Lightning Helix,Pile On,Elegy Acolyte,Phyrexian Tower,Quirion Beastcaller,Pyrite Spellbomb,Eagles of the North,"Loot, the Pathfinder",Generous Plunderer,,,✪,,,,,,,,WUG,WR,B,B,B,G,R,W,URG,R
