✓,Card,Type,Color,View,Picked By,
✓,Raven Eagle,Creature — Bird Assassin,B,View,Andrew 420,$H$32
,Rotting Regisaur,Creature — Zombie Dinosaur,B,View,,
,"Sephiroth, Fabled SOLDIER",Legendary Creature — Human Avatar Soldier,B,View,,
,Warren Soultrader,Creature — Zombie Goblin Wizard,B,View,,
,Woe Strider,Creature — Horror,B,View,,
✓,Archfiend of the Dross,Creature — Phyrexian Demon,B,View,dkriddles,$E$36
✓,Grief,Creature — Elemental Incarnation,B,View,Andrew 420,$H$18
✓,Hostile Investigator,Creature — Ogre Rogue Detective,B,View,Andrew 420,$H$19
,"Rankle, Master of Pranks",Legendary Creature — Faerie Rogue,B,View,,
✓,"Sheoldred, the Apocalypse",Legendary Creature — Phyrexian Praetor,B,View,Andrew 420,$H$7
✓,"Yawgmoth, Thran Physician",Legendary Creature — Human Cleric,B,View,dkriddles,$E$48
✓,Overlord of the Balemurk,Enchantment Creature — Avatar Horror,B,View,arborist77,$K$15
✓,Crabomination,Creature — Crab Demon,B,View,dkriddles,$E$5
✓,Grave Titan,Creature — Giant,B,View,dkriddles,$E$16
✓,Troll of Khazad-dûm,Creature — Troll,B,View,Andrew 420,$H$28
✓,Cut Down,Instant,B,View,Andrew 420,$H$16
✓,Dark Ritual,Instant,B,View,Andrew 420,$H$10
✓,Fatal Push,Instant,B,View,dkriddles,$E$10
✓,Bitter Triumph,Instant,B,View,Andrew 420,$H$13
✓,Go for the Throat,Instant,B,View,dkriddles,$E$13
✓,Infernal Grasp,Instant,B,View,aidybaby,$F$18
✓,Sheoldred's Edict,Instant,B,View,arborist77,$K$25
✓,Dismember,Instant,B,View,SL Veg Zombie,$C$6
✓,Saw in Half,Instant,B,View,Andrew 420,$H$40
✓,Fell the Profane,Instant,B,View,aidybaby,$F$24
✓,Snuff Out,Instant,B,View,dkriddles,$E$8
✓,Murderous Cut,Instant,B,View,arborist77,$K$17
✓,Bloodchief's Thirst,Sorcery,B,View,aidybaby,$F$22
✓,Bone Shards,Sorcery,B,View,Andrew 420,$H$25
✓,Duress,Sorcery,B,View,Andrew 420,$H$12
✓,Inquisition of Kozilek,Sorcery,B,View,Andrew 420,$H$31
