 ,Card,Type,Color,View,UR,
✓,Shadowy Backstreet,Land — Plains Swamp,WB,View,philjackson,$H$44
✓,Figure of Destiny,Creature — Kithkin,WR,View,Aviseras,$E$23
,Imodane's Recruiter,Creature — Human Knight,WR,View,,
✓,"Joshua, Phoenix's Dominant",Legendary Creature — Human Noble Wizard,WR,View,Mr. Fancypants,$L$45
✓,The Jolly Balloon Man,Legendary Creature — Human Clown,WR,View,Ray Bees,$C$40
✓,Lightning Helix,Instant,WR,View,Mr. Fancypants,$L$42
,Talisman of Conviction,Artifact,WR,View,,
✓,Showdown of the Skalds,Enchantment — Saga,WR,View,Mr. Fancypants,$L$46
✓,Elegant Parlor,Land — Mountain Plains,WR,View,Ray Bees,$C$37
✓,Inspiring Vantage,Land,WR,View,Ray Bees,$C$38
✓,Restless Bivouac,Land,WR,View,Mr. Fancypants,$L$39
✓,Sacred Foundry,Land — Mountain Plains,WR,View,Ray Bees,$C$39
✓,Sacred Foundry 2,Land — Mountain Plains,WR,View,philjackson,$H$37
,Voice of Resurgence,Creature — Elemental,WG,View,,
,Knight of Autumn,Creature — Dryad Knight,WG,View,,
✓,Knight of the Reliquary,Creature — Human Knight,WG,View,Nova,$J$45
,Brightglass Gearhulk,Artifact Creature — Construct,WG,View,,
,Dromoka's Command,Instant,WG,View,,
,Cosmic Rebirth,Instant,WG,View,,
,Lush Portico,Land — Forest Plains,WG,View,,
,Razorverge Thicket,Land,WG,View,,
,Stirring Wildwood,Land,WG,View,,
✓,Temple Garden,Land — Forest Plains,WG,View,Nova,$J$28
,Temple Garden 2,Land — Forest Plains,WG,View,,
✓,Invasion of Amonkhet,Battle — Siege,UB,View,Greg,$I$48
✓,Baleful Strix,Artifact Creature — Bird,UB,View,Greg,$I$38
✓,"Yuriko, the Tiger's Shadow",Legendary Creature — Human Ninja,UB,View,Greg,$I$33
✓,Fallen Shinobi,Creature — Zombie Ninja,UB,View,Greg,$I$7
✓,Kaito Shizuki,Legendary Planeswalker — Kaito,UB,View,Greg,$I$41
✓,"Kaito, Bane of Nightmares",Legendary Planeswalker — Kaito,UB,View,Greg,$I$27
✓,Creeping Tar Pit,Land,UB,View,Greg,$I$39
✓,Darkslick Shores,Land,UB,View,Greg,$I$46
✓,Undercity Sewers,Land — Island Swamp,UB,View,Greg,$I$40
✓,Watery Grave,Land — Island Swamp,UB,View,Greg,$I$19
✓,Watery Grave 2,Land — Island Swamp,UB,View,Greg,$I$26
✓,Third Path Iconoclast,Creature — Human Monk,UR,View,Mr. Fancypants,$L$21
✓,"Lutri, the Spellchaser",Legendary Creature — Elemental Otter,UR,View,Aviseras,$E$22
✓,Vivi Ornitier,Legendary Creature — Wizard,UR,View,Mr. Fancypants,$L$33
✓,Flame of Anor,Instant,UR,View,Mr. Fancypants,$L$44
✓,Prismari Command,Instant,UR,View,Mr. Fancypants,$L$34
,Magma Opus,Instant,UR,View,,
✓,Expressive Iteration,Sorcery,UR,View,Mr. Fancypants,$L$47
✓,Silverbluff Bridge,Artifact Land,UR,View,Mr. Fancypants,$L$40
,Talisman of Creativity,Artifact,UR,View,,
✓,"Saheeli, Sublime Artificer",Legendary Planeswalker — Saheeli,UR,View,clong,$K$21
✓,Spirebluff Canal,Land,UR,View,clong,$K$28
✓,Steam Vents,Land — Island Mountain,,View,Mr. Fancypants,$L$18
✓,Steam Vents 2,Land — Island Mountain,UR,View,Mr. Fancypants,$L$19
✓,Thundering Falls,Land — Island Mountain,UR,View,clong,$K$22
✓,Genemorph Imago,Creature — Insect Druid,UG,View,Nova,$J$39
✓,Hydroid Krasis,Creature — Jellyfish Hydra Beast,UG,View,Nova,$J$43
,Kishla Skimmer,Creature — Bird Scout,UG,View,,
✓,"Uro, Titan of Nature's Wrath",Legendary Creature — Elder Giant,UG,View,Nova,$J$6
✓,Repulsive Mutation,Instant,UG,View,Nova,$J$40
,"Tamiyo, Collector of Tales",Legendary Planeswalker — Tamiyo,UG,View,,
✓,Botanical Sanctum,Land,UG,View,clong,$K$38
✓,Breeding Pool,Land — Forest Island,UG,View,Nova,$J$16
✓,Breeding Pool 2,Land — Forest Island,UG,View,clong,$K$18
✓,Hedge Maze,Land — Forest Island,UG,View,Nova,$J$36
✓,Restless Vinestalk,Land,UG,View,clong,$K$41
✓,Bloodtithe Harvester,Creature — Vampire,BR,View,Keith,$D$28
✓,"Kroxa, Titan of Death's Hunger",Legendary Creature — Elder Giant,BR,View,Keith,$D$40
✓,"Valki, God of Lies",Legendary Creature — God,BR,View,Keith,$D$41
✓,"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,BR,View,Keith,$D$48
✓,Carnage Interpreter,Creature — Devil Detective,BR,View,Aviseras,$E$26
,"Judith, the Scourge Diva",Legendary Creature — Human Shaman,BR,View,,
✓,Mayhem Devil,Creature — Devil,BR,View,philjackson,$H$36
✓,Kolaghan's Command,Instant,BR,View,Keith,$D$42
✓,Blackcleave Cliffs,Land,BR,View,Keith,$D$32
✓,Blood Crypt,Land — Swamp Mountain,BR,View,Keith,$D$25
✓,Blood Crypt 2,Land — Swamp Mountain,BR,View,philjackson,$H$22
✓,Raucous Theater,Land — Swamp Mountain,BR,View,Keith,$D$31
✓,Restless Vents,Land,BR,View,philjackson,$H$41
✓,Deathrite Shaman,Creature — Elf Shaman,BG,View,philjackson,$H$12
,Wight of the Reliquary,Creature — Zombie Knight,BG,View,,
✓,Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,BG,View,Tendertouch,$F$39
,"Polukranos, Unchained",Legendary Creature — Zombie Hydra,BG,View,,
,The Gitrog Monster,Legendary Creature — Frog Horror,BG,View,,
✓,Tear Asunder,Instant,BG,View,Nova,$J$22
✓,Life // Death,Sorcery,BG,View,Tendertouch,$F$12
✓,"Grist, the Hunger Tide",Legendary Planeswalker — Grist,BG,View,Tendertouch,$F$27
,Blooming Marsh,Land,BG,View,,
✓,Overgrown Tomb,Land — Swamp Forest,BG,View,Nova,$J$21
✓,Overgrown Tomb 2,Land — Swamp Forest,BG,View,Tendertouch,$F$25
,Restless Cottage,Land,BG,View,,
✓,Underground Mortuary,Land — Swamp Forest,BG,View,Tendertouch,$F$28
✓,Territorial Kavu,Creature — Kavu,RG,View,Nova,$J$26
,"Migloz, Maze Crusher",Legendary Creature — Phyrexian Beast,RG,View,,
✓,Bloodbraid Elf,Creature — Elf Berserker,RG,View,Tendertouch,$F$37
✓,Huntmaster of the Fells,Creature — Human Werewolf,RG,View,Tendertouch,$F$47
,"Etali, Primal Conqueror",Legendary Creature — Elder Dinosaur,RG,View,,
,Escape to the Wilds,Sorcery,RG,View,,
✓,Wrenn and Six,Legendary Planeswalker — Wrenn,RG,View,Nova,$J$18
✓,Commercial District,Land — Mountain Forest,RG,View,Tendertouch,$F$32
✓,Copperline Gorge,Land,RG,View,clong,$K$42
,Raging Ravine,Land,RG,View,,
✓,Stomping Ground,Land — Mountain Forest,RG,View,Nova,$J$17
✓,Stomping Ground 2,Land — Mountain Forest,RG,View,Tendertouch,$F$17
,"Raffine, Scheming Seer",Legendary Creature — Sphinx Demon,WUB,View,,
✓,Noble Hierarch,Creature — Human Druid,WUG,View,Nova,$J$12
✓,Norman Osborn,Legendary Creature — Human Scientist Villain,UBR,View,Greg,$I$30
✓,"Loot, the Pathfinder",Legendary Creature — Beast Noble,URG,View,Nova,$J$35
✓,Ignoble Hierarch,Creature — Goblin Shaman,BRG,View,Tendertouch,$F$9
,"Korvold, Fae-Cursed King",Legendary Creature — Dragon Noble,BRG,View,,
,"Golos, Tireless Pilgrim",Legendary Artifact Creature — Scout,WUBRG,View,,
✓,Gingerbrute,Artifact Creature — Food Golem,C,View,Aviseras,$E$25
,"Syr Ginger, the Meal Ender",Legendary Artifact Creature — Food Knight,C,View,,
✓,Anticausal Vestige,Creature — Eldrazi,C,View,Ray Bees,$C$23
✓,Wurmcoil Engine,Artifact Creature — Phyrexian Wurm,C,View,Tendertouch,$F$22
✓,Myr Battlesphere,Artifact Creature — Myr Construct,C,View,Ray Bees,$C$35
,Cityscape Leveler,Artifact Creature — Construct,C,View,,
✓,Chrome Mox,Artifact,C,View,Mr. Fancypants,$L$12
✓,Mishra's Bauble,Artifact,C,View,clong,$K$8
✓,Mox Opal,Legendary Artifact,C,View,clong,$K$19
✓,Currency Converter,Artifact,C,View,Mr. Fancypants,$L$11
✓,Retrofitter Foundry,Artifact,C,View,Mr. Fancypants,$L$7
✓,Soul-Guide Lantern,Artifact,C,View,Aviseras,$E$30
✓,Agatha's Soul Cauldron,Legendary Artifact,C,View,Tendertouch,$F$26
✓,Reckoner Bankbuster,Artifact — Vehicle,C,View,Keith,$D$34
✓,Smuggler's Copter,Artifact — Vehicle,C,View,Greg,$I$12
,Coalition Relic,Artifact,C,View,,
,Monument to Endurance,Artifact,C,View,,
,Nettlecyst,Artifact — Equipment,C,View,,
✓,Palantír of Orthanc,Legendary Artifact,C,View,Keith,$D$33
✓,The Aetherspark,Legendary Artifact Planeswalker — Equipment,C,View,dillon_k,$G$42
✓,Batterskull,Artifact — Equipment,C,View,dillon_k,$G$18
✓,Dissection Tools,Artifact — Equipment,C,View,philjackson,$H$35
✓,"Skysovereign, Consul Flagship",Legendary Artifact — Vehicle,C,View,Tendertouch,$F$46
,Nexus of Becoming,Artifact,C,View,,
,The Endstone,Legendary Artifact,C,View,,
✓,"Karn, Scion of Urza",Legendary Planeswalker — Karn,C,View,Mr. Fancypants,$L$30
✓,Ancient Tomb,Land,C,View,Mr. Fancypants,$L$4
✓,Arid Mesa,Land,C,View,clong,$K$16
✓,Arid Mesa 2,Land,C,View,Mr. Fancypants,$L$16
✓,Blinkmoth Nexus,Land,C,View,Ray Bees,$C$21
✓,Bloodstained Mire,Land,C,View,Keith,$D$11
✓,Bloodstained Mire 2,Land,C,View,Keith,$D$12
✓,Field of the Dead,Land,C,View,Nova,$J$38
✓,Flooded Strand,Land,C,View,clong,$K$9
✓,Flooded Strand 2,Land,C,View,dillon_k,$G$9
✓,Marsh Flats,Land,C,View,dillon_k,$G$16
✓,Marsh Flats 2,Land,C,View,philjackson,$H$16
✓,Misty Rainforest,Land,C,View,Nova,$J$9
✓,Misty Rainforest 2,Land,C,View,Nova,$J$10
✓,Mutavault,Land,C,View,Ray Bees,$C$22
✓,Polluted Delta,Land,C,View,Greg,$I$9
✓,Polluted Delta 2,Land,C,View,Greg,$I$10
✓,Prismatic Vista,Land,C,View,clong,$K$24
✓,Scalding Tarn,Land,C,View,clong,$K$7
✓,Scalding Tarn 2,Land,C,View,Mr. Fancypants,$L$8
✓,Strip Mine,Land,C,View,Nova,$J$4
✓,Verdant Catacombs,Land,C,View,Nova,$J$11
✓,Verdant Catacombs 2,Land,C,View,Tendertouch,$F$13
✓,Windswept Heath,Land,C,View,Nova,$J$23
✓,Windswept Heath 2,Land,C,View,dillon_k,$G$25
✓,Wooded Foothills,Land,C,View,Tendertouch,$F$14
✓,Wooded Foothills 2,Land,C,View,Tendertouch,$F$16
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
