 ,Card,Type,Color,View,UR,
✓,Serra Paragon,Creature — Angel,W,View,dillon_k,$G$23
✓,Witch Enchanter,Creature — Human Warlock,W,View,Ray Bees,$C$30
✓,Solitude,Creature — Elemental Incarnation,W,View,dillon_k,$G$5
,Timeless Dragon,Creature — Dragon,W,View,,
✓,Eagles of the North,Creature — Bird Soldier,W,View,dillon_k,$G$46
✓,Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,W,View,Ray Bees,$C$8
✓,Condemn,Instant,W,View,Ray Bees,$C$18
✓,Ephemerate,Instant,W,View,Ray Bees,$C$5
✓,Mana Tithe,Instant,W,View,philjackson,$H$29
✓,Path to Exile,Instant,W,View,philjackson,$H$10
✓,Swords to Plowshares,Instant,W,View,dillon_k,$G$4
✓,Reprieve,Instant,W,View,dillon_k,$G$10
✓,Thraben Charm,Instant,W,View,Ray Bees,$C$36
✓,Unexpectedly Absent,Instant,W,View,Ray Bees,$C$12
✓,Oust,Sorcery,W,View,dillon_k,$G$14
✓,Prismatic Ending,Sorcery,W,View,Nova,$J$37
,Winds of Abandon,Sorcery,W,View,,
✓,Sevinne's Reclamation,Sorcery,W,View,Ray Bees,$C$48
,Battle Screech,Sorcery,W,View,,
✓,Day of Judgment,Sorcery,W,View,Mr. Fancypants,$L$43
✓,Sunfall,Sorcery,W,View,dillon_k,$G$33
✓,Portable Hole,Artifact,W,View,Ray Bees,$C$11
✓,Collector's Cage,Artifact,W,View,Ray Bees,$C$32
✓,Glimmer Lens,Artifact — Equipment,W,View,Ray Bees,$C$13
✓,Staff of the Storyteller,Artifact,W,View,Ray Bees,$C$14
✓,Maul of the Skyclaves,Artifact — Equipment,W,View,dillon_k,$G$35
✓,Unidentified Hovership,Artifact — Vehicle,W,View,Ray Bees,$C$28
✓,Legion's Landing,Legendary Enchantment,W,View,Ray Bees,$C$19
,Michiko's Reign of Truth,Enchantment — Saga,W,View,,
✓,Sheltered by Ghosts,Enchantment — Aura,W,View,dillon_k,$G$43
✓,Aang's Iceberg,Enchantment,W,View,Ray Bees,$C$33
✓,Caretaker's Talent,Enchantment — Class,W,View,Ray Bees,$C$17
✓,Wedding Announcement,Enchantment,W,View,Ray Bees,$C$34
,Virtue of Loyalty,Enchantment,W,View,,
✓,"Gideon, Ally of Zendikar",Legendary Planeswalker — Gideon,W,View,Ray Bees,$C$26
✓,The Wandering Emperor,Legendary Planeswalker,W,View,dillon_k,$G$13
✓,Abandoned Air Temple,Land,W,View,Ray Bees,$C$25
✓,Mockingbird,Creature — Bird Bard,U,View,Greg,$I$31
,Phantasmal Shieldback,Creature — Turtle Illusion,U,View,,
✓,Spyglass Siren,Creature — Siren Pirate,U,View,Greg,$I$32
,Duelist of the Mind,Creature — Human Advisor,U,View,,
✓,Faerie Mastermind,Creature — Faerie Rogue,U,View,Greg,$I$45
✓,Floodpits Drowner,Creature — Merfolk,U,View,Greg,$I$20
✓,"Jace, Vryn's Prodigy",Legendary Creature — Human Wizard,U,View,clong,$K$39
✓,"Kitsa, Otterball Elite",Legendary Creature — Otter Wizard,U,View,Mr. Fancypants,$L$23
✓,Ledger Shredder,Creature — Bird Advisor,U,View,dillon_k,$G$24
✓,"Malcolm, Alluring Scoundrel",Legendary Creature — Siren Pirate,U,View,dillon_k,$G$12
✓,Mischievous Mystic,Creature — Human Wizard,U,View,Greg,$I$29
✓,Phantasmal Image,Creature — Illusion,U,View,Mr. Fancypants,$L$28
✓,Silent Hallcreeper,Enchantment Creature — Horror,U,View,Greg,$I$15
✓,Snapcaster Mage,Creature — Human Wizard,U,View,Mr. Fancypants,$L$13
✓,"Wan Shi Tong, Librarian",Legendary Creature — Bird Spirit,U,View,Greg,$I$5
✓,Abhorrent Oculus,Creature — Eye,U,View,Nova,$J$14
✓,Brazen Borrower,Creature — Faerie Rogue,U,View,dillon_k,$G$31
✓,Chrome Host Seedshark,Creature — Phyrexian Shark,U,View,Mr. Fancypants,$L$15
