,Card,Type,Color,View,Picked By,
✓,Zealous Conscripts,Creature — Human Warrior,R,View,dkriddles,$G$47
✓,Oliphaunt,Creature — Elephant,R,View,dkriddles,$G$32
✓,Overlord of the Boilerbilges,Enchantment Creature — Avatar Horror,R,View,dkriddles,$G$38
✓,Trumpeting Carnosaur,Creature — Dinosaur,R,View,tendertouch,$K$33
✓,Burst Lightning,Instant,R,View,dkriddles,$G$17
✓,Fire Magic,Instant,R,View,ILIJILILI,$D$40
✓,Galvanic Blast,Instant,R,View,lastabzan,$F$43
,Lightning Axe,Instant,R,View,,
✓,Lightning Bolt,Instant,R,View,adhavoc,$E$8
✓,Monstrous Rage,Instant,R,View,philjackson,$H$42
✓,Spikefield Hazard,Instant,R,View,dkriddles,$G$34
✓,Torch the Tower,Instant,R,View,adhavoc,$E$37
✓,Unholy Heat,Instant,R,View,philjackson,$H$30
✓,Abrade,Instant,R,View,dkriddles,$G$35
,Fiery Temper,Instant,R,View,,
✓,Ghostfire Slice,Instant,R,View,dkriddles,$G$31
✓,Chain Lightning,Sorcery,R,View,dkriddles,$G$10
,Faithless Looting,Sorcery,R,View,,
✓,Flame Slash,Sorcery,R,View,dkriddles,$G$13
,Mizzium Mortars,Sorcery,R,View,,
,Tribal Flames,Sorcery,R,View,,
,Mizzix's Mastery,Sorcery,R,View,,
✓,Pyrite Spellbomb,Artifact,R,View,lastabzan,$F$29
✓,Chainsaw,Artifact — Equipment,R,View,lastabzan,$F$38
✓,Cori-Steel Cutter,Artifact — Equipment,R,View,adhavoc,$E$26
✓,Legion Extruder,Artifact,R,View,lastabzan,$F$37
✓,Embercleave,Legendary Artifact — Equipment,R,View,adhavoc,$E$42
✓,Kumano Faces Kakkazan,Enchantment — Saga,R,View,dkriddles,$G$26
✓,Goblin Bombardment,Enchantment,R,View,adhavoc,$E$7
✓,Fable of the Mirror-Breaker,Enchantment — Saga,R,View,dkriddles,$G$7
✓,Fires of Invention,Enchantment,R,View,tendertouch,$K$32
✓,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,R,View,dkriddles,$G$23
✓,Arena of Glory,Land,R,View,adhavoc,$E$12
✓,Birds of Paradise,Creature — Bird,G,View,philjackson,$H$4
✓,Elvish Mystic,Creature — Elf Druid,G,View,coopergfrye,$C$23
✓,Goldvein Hydra,Creature — Hydra,G,View,coopergfrye,$C$31
✓,Llanowar Elves,Creature — Elf Druid,G,View,clorpy,$J$25
✓,Molt Tender,Creature — Insect Druid,G,View,clorpy,$J$24
✓,Pawpatch Recruit,Creature — Rabbit Warrior,G,View,philjackson,$H$21
✓,Sazh's Chocobo,Creature — Bird,G,View,philjackson,$H$19
,Wild Nacatl,Creature — Cat Warrior,G,View,,
✓,"Bristly Bill, Spine Sower",Legendary Creature — Plant Druid,G,View,philjackson,$H$8
✓,Cankerbloom,Creature — Phyrexian Fungus,G,View,clorpy,$J$43
✓,Deeproot Wayfinder,Creature — Merfolk Scout,G,View,coopergfrye,$C$44
✓,Fanatic of Rhonas,Creature — Snake Druid,G,View,clorpy,$J$12
✓,Keen-Eyed Curator,Creature — Raccoon Scout,G,View,clorpy,$J$34
✓,Lotus Cobra,Creature — Snake,G,View,coopergfrye,$C$19
,Nishoba Brawler,Creature — Cat Warrior,G,View,,
,Quirion Beastcaller,Creature — Dryad Warrior,G,View,,
✓,"Rofellos, Llanowar Emissary",Legendary Creature — Elf Druid,G,View,clorpy,$J$13
✓,Scavenging Ooze,Creature — Ooze,G,View,coopergfrye,$C$37
✓,Scythecat Cub,Creature — Cat,G,View,coopergfrye,$C$9
✓,Springheart Nantuko,Enchantment Creature — Insect Monk,G,View,coopergfrye,$C$10
✓,Sylvan Caryatid,Creature — Plant,G,View,coopergfrye,$C$32
,Tarmogoyf,Creature — Lhurgoyf,G,View,,
✓,Voracious Hydra,Creature — Hydra,G,View,clorpy,$J$40
✓,Endurance,Creature — Elemental Incarnation,G,View,clorpy,$J$21
✓,Eternal Witness,Creature — Human Shaman,G,View,coopergfrye,$C$28
