✓,Card,Type,Color,View,Picked By,
,Imodane's Recruiter,Creature — Human Knight,WR,View,,
,"Joshua, Phoenix's Dominant",Legendary Creature — Human Noble Wizard,WR,View,,
,The Jolly Balloon Man,Legendary Creature — Human Clown,WR,View,,
,Lightning Helix,Instant,WR,View,,
,Talisman of Conviction,Artifact,WR,View,,
,Showdown of the Skalds,Enchantment — Saga,WR,View,,
✓,Elegant Parlor,Land — Mountain Plains,WR,View,Last Abzan,$J$36
,Inspiring Vantage,Land,WR,View,,
,Restless Bivouac,Land,WR,View,,
,Sacred Foundry,Land — Mountain Plains,WR,View,,
,Sacred Foundry 2,Land — Mountain Plains,WR,View,,
,Voice of Resurgence,Creature — Elemental,WG,View,,
✓,Knight of Autumn,Creature — Dryad Knight,WG,View,baronvonfonz,$E$43
,Knight of the Reliquary,Creature — Human Knight,WG,View,,
,Brightglass Gearhulk,Artifact Creature — Construct,WG,View,,
,Dromoka's Command,Instant,WG,View,,
✓,Lush Portico,Land — Forest Plains,WG,View,baronvonfonz,$E$20
✓,Razorverge Thicket,Land,WG,View,Neo,$I$39
✓,Stirring Wildwood,Land,WG,View,baronvonfonz,$E$45
✓,Temple Garden,Land — Forest Plains,WG,View,baronvonfonz,$E$14
✓,Temple Garden 2,Land — Forest Plains,WG,View,Neo,$I$23
✓,Baleful Strix,Artifact Creature — Bird,UB,View,Lame4Fame,$L$42
,"Yuriko, the Tiger's Shadow",Legendary Creature — Human Ninja,UB,View,,
✓,Fallen Shinobi,Creature — Zombie Ninja,UB,View,Lame4Fame,$L$30
✓,Kaito Shizuki,Legendary Planeswalker — Kaito,UB,View,Lame4Fame,$L$48
✓,"Kaito, Bane of Nightmares",Legendary Planeswalker — Kaito,UB,View,Lame4Fame,$L$44
✓,Creeping Tar Pit,Land,UB,View,Lame4Fame,$L$40
✓,Darkslick Shores,Land,UB,View,Lame4Fame,$L$43
✓,Undercity Sewers,Land — Island Swamp,UB,View,Greg,$G$29
✓,Watery Grave,Land — Island Swamp,UB,View,Lame4Fame,$L$16
✓,Watery Grave 2,Land — Island Swamp,UB,View,Lame4Fame,$L$24
✓,Third Path Iconoclast,Creature — Human Monk,UR,View,Oophies,$F$48
✓,"Lutri, the Spellchaser",Legendary Creature — Elemental Otter,UR,View,Oophies,$F$21
✓,Vivi Ornitier,Legendary Creature — Wizard,UR,View,Oophies,$F$47
,Flame of Anor,Instant,UR,View,,
✓,Expressive Iteration,Sorcery,UR,View,Oophies,$F$46
,Silverbluff Bridge,Artifact Land,UR,View,,
,Talisman of Creativity,Artifact,UR,View,,
✓,"Saheeli, Sublime Artificer",Legendary Planeswalker — Saheeli,UR,View,Jack,$K$30
✓,Spirebluff Canal,Land,UR,View,Oophies,$F$34
✓,Steam Vents,Land — Island Mountain,UR,View,Oophies,$F$20
✓,Steam Vents 2,Land — Island Mountain,UR,View,Greg,$G$21
✓,Thundering Falls,Land — Island Mountain,UR,View,Greg,$G$41
✓,Genemorph Imago,Creature — Insect Druid,UG,View,Greg,$G$32
✓,Hydroid Krasis,Creature — Jellyfish Hydra Beast,UG,View,Greg,$G$48
✓,Kishla Skimmer,Creature — Bird Scout,UG,View,Greg,$G$39
✓,"Uro, Titan of Nature's Wrath",Legendary Creature — Elder Giant,UG,View,Neo,$I$21
✓,Repulsive Mutation,Instant,UG,View,Greg,$G$20
✓,Botanical Sanctum,Land,UG,View,Greg,$G$40
✓,Breeding Pool,Land — Forest Island,UG,View,Greg,$G$17
✓,Breeding Pool 2,Land — Forest Island,UG,View,Neo,$I$19
✓,Hedge Maze,Land — Forest Island,UG,View,Neo,$I$20
✓,Restless Vinestalk,Land,UG,View,Neo,$I$29
,Bloodtithe Harvester,Creature — Vampire,BR,View,,
✓,"Kroxa, Titan of Death's Hunger",Legendary Creature — Elder Giant,BR,View,Last Abzan,$J$43
,"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,BR,View,,
✓,Carnage Interpreter,Creature — Devil Detective,BR,View,Last Abzan,$J$6
✓,Mayhem Devil,Creature — Devil,BR,View,Max,$D$20
✓,Kolaghan's Command,Instant,BR,View,Last Abzan,$J$38
✓,Blackcleave Cliffs,Land,BR,View,Max,$D$37
✓,Blood Crypt,Land — Swamp Mountain,BR,View,Max,$D$21
✓,Blood Crypt 2,Land — Swamp Mountain,BR,View,Last Abzan,$J$22
✓,Raucous Theater,Land — Swamp Mountain,BR,View,Last Abzan,$J$26
,Restless Vents,Land,BR,View,,
✓,Deathrite Shaman,Creature — Elf Shaman,BG,View,baronvonfonz,$E$6
✓,Wight of the Reliquary,Creature — Zombie Knight,BG,View,Max,$D$40
✓,Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,BG,View,baronvonfonz,$E$48
✓,Beifong's Bounty Hunters,Creature — Human Mercenary,BG,View,Max,$D$48
✓,"Polukranos, Unchained",Legendary Creature — Zombie Hydra,BG,View,Max,$D$39
✓,Tear Asunder,Instant,BG,View,baronvonfonz,$E$27
✓,Life // Death,Sorcery,BG,View,Max,$D$23
✓,"Grist, the Hunger Tide",Legendary Planeswalker — Grist,BG,View,Max,$D$11
✓,Blooming Marsh,Land,BG,View,Max,$D$38
✓,Overgrown Tomb,Land — Swamp Forest,BG,View,baronvonfonz,$E$13
✓,Overgrown Tomb 2,Land — Swamp Forest,BG,View,Max,$D$14
✓,Restless Cottage,Land,BG,View,baronvonfonz,$E$25
✓,Underground Mortuary,Land — Swamp Forest,BG,View,baronvonfonz,$E$19
✓,Questing Druid,Creature — Human Druid,RG,View,Jack Heart,$C$41
✓,"Migloz, Maze Crusher",Legendary Creature — Phyrexian Beast,RG,View,Jack Heart,$C$46
,Bloodbraid Elf,Creature — Elf Berserker,RG,View,,
,Huntmaster of the Fells,Creature — Human Werewolf,RG,View,,
✓,"Etali, Primal Conqueror",Legendary Creature — Elder Dinosaur,RG,View,Max,$D$42
✓,Escape to the Wilds,Sorcery,RG,View,Jack Heart,$C$48
✓,Wrenn and Six,Legendary Planeswalker — Wrenn,RG,View,Greg,$G$13
✓,Commercial District,Land — Mountain Forest,RG,View,Jack Heart,$C$33
✓,Copperline Gorge,Land,RG,View,Jack Heart,$C$38
✓,Raging Ravine,Land,RG,View,Jack Heart,$C$30
✓,Stomping Ground,Land — Mountain Forest,RG,View,Jack Heart,$C$15
✓,Stomping Ground 2,Land — Mountain Forest,RG,View,Greg,$G$16
,"Raffine, Scheming Seer",Legendary Creature — Sphinx Demon,WUB,View,,
,"Shiko, Paragon of the Way",Legendary Creature — Spirit Dragon,WUR,View,,
✓,Noble Hierarch,Creature — Human Druid,WUG,View,Neo,$I$5
,Norman Osborn,Legendary Creature — Human Scientist Villain,UBR,View,,
,"Leovold, Emissary of Trest",Legendary Creature — Elf Advisor,UBG,View,,
,Eshki Dragonclaw,Legendary Creature — Human Warrior,URG,View,,
✓,"Loot, the Pathfinder",Legendary Creature — Beast Noble,URG,View,Greg,$G$22
✓,Ignoble Hierarch,Creature — Goblin Shaman,BRG,View,Neo,$I$4
✓,"Korvold, Fae-Cursed King",Legendary Creature — Dragon Noble,BRG,View,Greg,$G$30
✓,Gingerbrute,Artifact Creature — Food Golem,C,View,Jack Heart,$C$37
✓,Phyrexian Revoker,Artifact Creature — Phyrexian Horror,C,View,Last Abzan,$J$48
✓,"Syr Ginger, the Meal Ender",Legendary Artifact Creature — Food Knight,C,View,Jack,$K$44
,Anticausal Vestige,Creature — Eldrazi,C,View,,
✓,Wurmcoil Engine,Artifact Creature — Phyrexian Wurm,C,View,Neo,$I$44
✓,Myr Battlesphere,Artifact Creature — Myr Construct,C,View,Jack,$K$47
,Cityscape Leveler,Artifact Creature — Construct,C,View,,
✓,Chrome Mox,Artifact,C,View,Lame4Fame,$L$8
✓,Mishra's Bauble,Artifact,C,View,Jack,$K$22
✓,Mishra's Bauble 2,Artifact,C,View,Jack,$K$23
✓,Mishra's Bauble 3,Artifact,C,View,Oophies,$F$23
✓,Mishra's Bauble 4,Artifact,C,View,Jack Heart,$C$23
✓,Mox Opal,Legendary Artifact,C,View,Jack,$K$18
✓,Currency Converter,Artifact,C,View,Jack,$K$15
✓,Retrofitter Foundry,Artifact,C,View,Jack,$K$19
✓,Soul-Guide Lantern,Artifact,C,View,Oophies,$F$39
✓,Agatha's Soul Cauldron,Legendary Artifact,C,View,Jack,$K$34
✓,Reckoner Bankbuster,Artifact — Vehicle,C,View,baronvonfonz,$E$24
✓,Smuggler's Copter,Artifact — Vehicle,C,View,Jack Heart,$C$8
,Monument to Endurance,Artifact,C,View,,
✓,Nettlecyst,Artifact — Equipment,C,View,Jack,$K$48
✓,Palantír of Orthanc,Legendary Artifact,C,View,Oophies,$F$38
✓,The Aetherspark,Legendary Artifact Planeswalker — Equipment,C,View,Bludac,$H$41
✓,Batterskull,Artifact — Equipment,C,View,Bludac,$H$29
✓,Dissection Tools,Artifact — Equipment,C,View,Neo,$I$13
✓,"Skysovereign, Consul Flagship",Legendary Artifact — Vehicle,C,View,Neo,$I$40
,Nexus of Becoming,Artifact,C,View,,
✓,The Endstone,Legendary Artifact,C,View,Neo,$I$48
✓,"Karn, Scion of Urza",Legendary Planeswalker — Karn,C,View,Jack,$K$39
✓,Ancient Tomb,Land,C,View,Lame4Fame,$L$9
✓,Arid Mesa,Land,C,View,Oophies,$F$14
✓,Arid Mesa 2,Land,C,View,Last Abzan,$J$14
✓,Blinkmoth Nexus,Land,C,View,Last Abzan,$J$34
✓,Bloodstained Mire,Land,C,View,Max,$D$13
✓,Bloodstained Mire 2,Land,C,View,Jack Heart,$C$13
✓,Flooded Strand,Land,C,View,Greg,$G$14
✓,Flooded Strand 2,Land,C,View,Jack,$K$11
✓,Marsh Flats,Land,C,View,Max,$D$15
✓,Marsh Flats 2,Land,C,View,Last Abzan,$J$16
✓,Misty Rainforest,Land,C,View,Greg,$G$10
✓,Misty Rainforest 2,Land,C,View,Neo,$I$10
✓,Mutavault,Land,C,View,Bludac,$H$28
✓,Polluted Delta,Land,C,View,Lame4Fame,$L$14
✓,Polluted Delta 2,Land,C,View,Lame4Fame,$L$15
✓,Prismatic Vista,Land,C,View,baronvonfonz,$E$17
✓,Scalding Tarn,Land,C,View,Oophies,$F$11
✓,Scalding Tarn 2,Land,C,View,Jack Heart,$C$12
✓,Strip Mine,Land,C,View,Greg,$G$6
✓,Verdant Catacombs,Land,C,View,Jack Heart,$C$11
✓,Verdant Catacombs 2,Land,C,View,Greg,$G$12
✓,Windswept Heath,Land,C,View,baronvonfonz,$E$11
✓,Windswept Heath 2,Land,C,View,Neo,$I$12
✓,Wooded Foothills,Land,C,View,Neo,$I$11
✓,Wooded Foothills 2,Land,C,View,Greg,$G$11
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
,,,,,,$KSH$56108
