✓,Card,Type,Color,View,Picked By,
,Battle Screech,Sorcery,W,View,,
✓,Day of Judgment,Sorcery,W,View,Jack,$K$45
✓,Sunfall,Sorcery,W,View,baronvonfonz,$E$26
✓,Portable Hole,Artifact,W,View,Jack,$K$27
✓,Glimmer Lens,Artifact — Equipment,W,View,Bludac,$H$16
✓,Staff of the Storyteller,Artifact,W,View,Jack,$K$25
✓,Unidentified Hovership,Artifact — Vehicle,W,View,Bludac,$H$35
✓,Legion's Landing,Legendary Enchantment,W,View,Bludac,$H$39
✓,Journey to Nowhere,Enchantment,W,View,Bludac,$H$46
,Michiko's Reign of Truth,Enchantment — Saga,W,View,,
✓,Sheltered by Ghosts,Enchantment — Aura,W,View,Bludac,$H$10
,Aang's Iceberg,Enchantment,W,View,,
,Caretaker's Talent,Enchantment — Class,W,View,,
,Wedding Announcement,Enchantment,W,View,,
✓,Virtue of Loyalty,Enchantment,W,View,Bludac,$H$27
✓,"Gideon, Ally of Zendikar",Legendary Planeswalker — Gideon,W,View,Bludac,$H$32
✓,The Wandering Emperor,Legendary Planeswalker,W,View,baronvonfonz,$E$18
✓,Abandoned Air Temple,Land,W,View,Bludac,$H$24
✓,Mockingbird,Creature — Bird Bard,U,View,Lame4Fame,$L$29
✓,Phantasmal Shieldback,Creature — Turtle Illusion,U,View,Lame4Fame,$L$39
,Spyglass Siren,Creature — Siren Pirate,U,View,,
✓,Duelist of the Mind,Creature — Human Advisor,U,View,Oophies,$F$42
✓,Faerie Mastermind,Creature — Faerie Rogue,U,View,Lame4Fame,$L$38
✓,Floodpits Drowner,Creature — Merfolk,U,View,Neo,$I$33
✓,"Jace, Vryn's Prodigy",Legendary Creature — Human Wizard,U,View,Lame4Fame,$L$21
✓,"Kitsa, Otterball Elite",Legendary Creature — Otter Wizard,U,View,Oophies,$F$31
✓,Ledger Shredder,Creature — Bird Advisor,U,View,Oophies,$F$22
✓,"Malcolm, Alluring Scoundrel",Legendary Creature — Siren Pirate,U,View,Lame4Fame,$L$13
✓,Mischievous Mystic,Creature — Human Wizard,U,View,Jack,$K$31
✓,Phantasmal Image,Creature — Illusion,U,View,Neo,$I$26
✓,Silent Hallcreeper,Enchantment Creature — Horror,U,View,Lame4Fame,$L$35
✓,Snapcaster Mage,Creature — Human Wizard,U,View,Jack,$K$16
✓,Thundertrap Trainer,Creature — Otter Wizard,U,View,Oophies,$F$26
✓,"Wan Shi Tong, Librarian",Legendary Creature — Bird Spirit,U,View,Jack,$K$20
✓,Abhorrent Oculus,Creature — Eye,U,View,Neo,$I$36
✓,Brazen Borrower,Creature — Faerie Rogue,U,View,Lame4Fame,$L$17
,Chrome Host Seedshark,Creature — Phyrexian Shark,U,View,,
✓,Forensic Gadgeteer,Creature — Vedalken Artificer Detective,U,View,Jack,$K$43
✓,"Kiora, the Rising Tide",Legendary Creature — Merfolk Noble,U,View,Oophies,$F$35
✓,Phyrexian Metamorph,Artifact Creature — Phyrexian Shapeshifter,U,View,Jack,$K$36
✓,Vendilion Clique,Legendary Creature — Faerie Wizard,U,View,Lame4Fame,$L$45
✓,Enduring Curiosity,Enchantment Creature — Cat Glimmer,U,View,Lame4Fame,$L$36
,Micromancer,Creature — Human Wizard,U,View,,
✓,Subtlety,Creature — Elemental Incarnation,U,View,Jack,$K$6
✓,"Urza, Lord High Artificer",Legendary Creature — Human Artificer,U,View,Jack,$K$4
,"Venser, Shaper Savant",Legendary Creature — Human Wizard,U,View,,
✓,Quantum Riddler,Creature — Sphinx,U,View,Lame4Fame,$L$4
✓,"Wan Shi Tong, All-Knowing",Legendary Creature — Bird Spirit,U,View,Lame4Fame,$L$5
✓,Kappa Cannoneer,Artifact Creature — Turtle Warrior,U,View,Jack,$K$26
,Torrential Gearhulk,Artifact Creature — Construct,U,View,,
✓,Brainstorm,Instant,U,View,Oophies,$F$12
✓,Consider,Instant,U,View,Oophies,$F$36
✓,Fading Hope,Instant,U,View,Oophies,$F$40
✓,Force Spike,Instant,U,View,Jack,$K$37
,Into the Flood Maw,Instant,U,View,,
✓,Spell Pierce,Instant,U,View,Oophies,$F$18
,Spell Snare,Instant,U,View,,
✓,Stern Scolding,Instant,U,View,Lame4Fame,$L$6
,Thought Scour,Instant,U,View,,
✓,Three Steps Ahead,Instant,U,View,Lame4Fame,$L$34
✓,Counterspell,Instant,U,View,Jack,$K$12
,Make Disappear,Instant,U,View,,
✓,Mana Leak,Instant,U,View,Jack,$K$8
✓,Memory Lapse,Instant,U,View,Lame4Fame,$L$7
✓,Miscalculation,Instant,U,View,Oophies,$F$10
✓,Remand,Instant,U,View,Oophies,$F$8
✓,Cryptic Command,Instant,U,View,Jack,$K$35
✓,Mystic Confluence,Instant,U,View,Greg,$G$4
✓,Sublime Epiphany,Instant,U,View,Greg,$G$47
✓,Boomerang Basics,Sorcery — Lesson,U,View,Jack,$K$32
✓,Hard Evidence,Sorcery,U,View,Oophies,$F$32
✓,Ponder,Sorcery,U,View,Lame4Fame,$L$22
✓,Preordain,Sorcery,U,View,Oophies,$F$25
✓,Stock Up,Sorcery,U,View,Jack,$K$5
✓,Unnerving Grasp,Sorcery,U,View,Lame4Fame,$L$32
✓,Winternight Stories,Sorcery,U,View,Oophies,$F$43
✓,Lórien Revealed,Sorcery,U,View,Jack,$K$10
,Temporal Manipulation,Sorcery,U,View,,
✓,Time Warp,Sorcery,U,View,Lame4Fame,$L$47
✓,Treasure Cruise,Sorcery,U,View,Greg,$G$28
✓,Aether Spellbomb,Artifact,U,View,Jack,$K$21
✓,Astrologian's Planisphere,Artifact — Equipment,U,View,Oophies,$F$44
✓,Cryptic Coat,Artifact — Equipment,U,View,Lame4Fame,$L$27
✓,Stormchaser's Talent,Enchantment — Class,U,View,Oophies,$F$41
✓,Unable to Scream,Enchantment — Aura,U,View,Lame4Fame,$L$20
✓,Proft's Eidetic Memory,Legendary Enchantment,U,View,Oophies,$F$24
,"Narset, Parter of Veils",Legendary Planeswalker — Narset,U,View,,
✓,"Jace, the Mind Sculptor",Legendary Planeswalker — Jace,U,View,Oophies,$F$28
✓,Mystic Sanctuary,Land — Island,U,View,Jack,$K$28
✓,"Otawara, Soaring City",Legendary Land,U,View,Jack,$K$24
✓,Concealing Curtains,Creature — Wall,B,View,baronvonfonz,$E$42
✓,Forsaken Miner,Creature — Skeleton Rogue,B,View,Last Abzan,$J$19
✓,Knight of the Ebon Legion,Creature — Vampire Knight,B,View,Last Abzan,$J$41
✓,Nethergoyf,Creature — Lhurgoyf,B,View,Max,$D$31
✓,Stalactite Stalker,Creature — Goblin Rogue,B,View,Last Abzan,$J$39
✓,Stitcher's Supplier,Creature — Zombie,B,View,Max,$D$26
,Blade of the Oni,Artifact Creature — Equipment Demon,B,View,,
✓,Bloodghast,Creature — Vampire Spirit,B,View,Max,$D$19
,Caustic Bronco,Creature — Snake Horse Mount,B,View,,
✓,Dark Confidant,Creature — Human Wizard,B,View,Last Abzan,$J$32
✓,Dauthi Voidwalker,Creature — Dauthi Rogue,B,View,Lame4Fame,$L$18
✓,Deep-Cavern Bat,Creature — Bat,B,View,Lame4Fame,$L$11
✓,"Jadar, Ghoulcaller of Nephalia",Legendary Creature — Human Wizard,B,View,Max,$D$27
✓,Marionette Apprentice,Creature — Human Artificer,B,View,Max,$D$18
✓,Priest of Forgotten Gods,Creature — Human Cleric,B,View,Max,$D$33
✓,Sinkhole Surveyor,Creature — Bird Scout,B,View,Max,$D$47
✓,Tenacious Underdog,Creature — Human Warrior,B,View,Last Abzan,$J$44
